Tolerance,FP,TP,FN,TN
0.3,0,90,0,810
0.31,0,90,0,810
0.32,0,90,0,810
0.33,0,90,0,810
0.34,0,90,0,810
0.35,10,90,0,800
0.36,30,90,0,780
0.37,40,90,0,770
0.38,58,90,0,752
0.39,94,90,0,716
0.4,108,90,0,702
0.41,152,90,0,658
0.42,180,90,0,630
0.43,230,90,0,580
0.44,264,90,0,546
0.45,298,90,0,512
0.46,338,90,0,472
0.47,398,90,0,412
0.48,456,90,0,354
0.49,498,90,0,312
0.5,546,90,0,264
0.51,594,90,0,216
0.52,632,90,0,178
0.53,664,90,0,146
0.54,704,90,0,106
0.55,736,90,0,74
0.56,746,90,0,64
0.57,772,90,0,38
0.58,786,90,0,24
0.59,798,90,0,12
0.6,800,90,0,10